date,open,high,low,close,volume
2019-08-28,50.63,50.935,49.54,50.21,7232411
2019-08-29,51.0,51.43,50.26,50.96,6268704
2019-08-30,51.29,51.405,50.17,50.6,5891610
2019-09-03,50.48,51.57,50.43,51.06,6268898
2019-09-04,52.06,53.61,52.01,53.5,9989393
2019-09-05,55.15,56.5966,53.77,54.58,11780719
2019-09-06,54.67,55.01,54.26,54.58,7034027
2019-09-09,55.25,55.55,54.2,55.19,9138653
2019-09-10,54.75,56.1473,54.28,56.03,8427626
2019-09-11,56.54,56.77,54.41,54.91,9687337
2019-09-12,56.46,57.52,55.14,55.45,10921157
2019-09-13,55.64,56.02,55.315,55.95,6401832
2019-09-16,55.18,55.94,55.17,55.78,6471327
2019-09-17,55.5,55.72,54.77,55.35,6980832
2019-09-18,55.21,55.23,54.13,55.12,5453088
2019-09-19,55.43,55.56,54.71,55.01,4569363
2019-09-20,55.04,55.48,54.52,54.76,7505581
2019-09-23,54.47,54.74,53.67,54.18,4539727
2019-09-24,54.61,54.63,53.4125,53.96,8340328
2019-09-25,53.89,55.04,53.58,54.94,5196544
2019-09-26,54.72,55.07,54.16,54.22,6575900
2019-09-27,54.21,54.72,52.05,52.33,7801124
2019-09-30,52.6,52.995,52.31,52.92,7438370
2019-10-01,53.34,53.55,52.24,52.9,9247348
2019-10-02,51.9,52.54,50.25,52.25,13592895
2019-10-03,52.19,54.77,52.07,54.07,14694844
2019-10-04,54.75,55.49,54.55,55.44,8782953
2019-10-07,55.06,55.89,54.56,55.41,6623619
2019-10-08,54.75,55.3,54.1,54.13,7335792
2019-10-09,53.76,54.75,53.2,53.43,9079005
2019-10-10,52.93,53.84,51.45,53.69,8790451
2019-10-11,54.35,55.38,54.15,54.82,8632567
2019-10-14,54.35,55.2,54.01,55.01,5969793
2019-10-15,55.15,55.6,54.16,55.56,6878469
2019-10-16,55.4,55.9398,55.14,55.59,5764574
2019-10-17,56.0,56.46,55.51,55.59,5995260
2019-10-18,55.66,55.688,53.38,54.54,8531046
2019-10-21,55.25,55.82,54.725,55.51,5946880
2019-10-22,55.67,55.72,54.49,54.52,4491840
2019-10-23,54.56,55.33,54.35,54.8,3368286
2019-10-24,55.18,55.735,54.62,55.44,5700614
2019-10-25,56.21,56.275,55.02,55.26,6320240
2019-10-28,55.99,56.18,54.21,54.56,7507573
2019-10-29,54.47,54.63,53.62,54.0,5680034
2019-10-30,55.25,55.95,54.405,55.87,8537516
2019-10-31,55.93,56.07,54.74,56.03,6621587
2019-11-01,56.21,57.43,55.46,55.82,10202913
2019-11-04,55.56,56.01,54.17,55.71,10345268
2019-11-05,55.8,56.27,55.01,55.54,5036329
2019-11-06,55.78,56.59,55.47,56.36,6239442
2019-11-07,56.75,56.82,54.3546,54.55,12512265
2019-11-08,53.5,54.84,52.65,54.3,15899887
2019-11-11,53.85,53.93,52.24,52.52,6830019
2019-11-12,52.7,53.05,51.69,51.95,12566434
2019-11-13,51.6,52.63,51.46,52.33,11585931
2019-11-14,52.32,52.98,52.1,52.7,7186225
2019-11-15,53.15,53.71,52.7,53.44,5327303
2019-11-18,53.43,53.45,52.2742,52.73,6443840
2019-11-19,53.1,53.38,52.48,53.28,5092647
2019-11-20,53.24,54.19,53.145,54.085,7421968
2019-11-21,53.95,54.29,53.31,53.69,3960571
2019-11-22,53.77,53.9,52.59,53.04,4583063
2019-11-25,53.23,53.76,53.02,53.73,4125965
2019-11-26,53.93,54.23,53.56,54.17,4226674
2019-11-27,54.33,54.56,53.9,54.48,3636918
2019-11-29,54.13,55.18,54.007,54.83,2393290
2019-12-02,54.93,54.98,53.36,54.23,4637534
2019-12-03,53.61,54.61,53.52,54.59,5399686
2019-12-04,54.75,54.87,53.755,53.88,4752232
2019-12-05,54.09,55.04,53.74,54.99,5272828
2019-12-06,55.12,55.4194,54.8,55.21,5051548
2019-12-09,55.12,55.4,54.37,54.39,4557809
2019-12-10,54.46,55.99,54.1,55.94,4686013
2019-12-11,55.94,56.98,55.94,56.48,5575667
2019-12-12,56.6,58.81,56.48,58.56,9015112
2019-12-13,58.5,58.74,57.7908,58.65,5756492
2019-12-16,59.23,59.34,58.57,58.61,4576098
2019-12-17,58.7,58.74,58.1,58.26,4388023
2019-12-18,58.34,59.12,57.96,59.02,6681145
2019-12-19,58.71,59.23,58.525,59.13,4384306
2019-12-20,59.4,59.71,58.79,59.22,8966312
2019-12-23,59.6,59.745,58.83,58.89,4395775
2019-12-24,58.78,59.03,58.52,58.81,1562888
2019-12-26,58.81,59.27,58.71,58.89,2325547
2019-12-27,59.21,59.59,58.78,59.185,3386409
2019-12-30,59.35,59.5539,58.615,58.88,3028520
2019-12-31,58.72,59.47,58.65,59.42,3437756
2020-01-02,59.91,60.05,58.56,58.65,5189778
2020-01-03,58.03,58.93,57.65,58.67,4466831
2020-01-06,58.47,59.87,58.435,59.74,4911322
2020-01-07,59.69,60.41,59.21,60.335,4930894
2020-01-08,60.0,60.885,59.85,59.88,5022348
2020-01-09,60.24,60.43,58.86,59.34,7767809
2020-01-10,59.76,59.76,58.73,58.95,4425050
2020-01-13,59.12,59.58,58.82,59.24,4530121
2020-01-14,59.58,60.575,58.91,60.05,7311520
2020-01-15,60.05,60.45,59.28,59.64,5703328
2020-01-16,60.0,60.45,59.72,60.43,7185596
2020-01-17,60.61,61.28,60.44,61.24,8752814
2020-01-21,61.0,61.64,60.81,61.42,6914153
2020-01-22,61.65,61.9,60.235,60.32,6110151
2020-01-23,60.32,60.55,60.06,60.13,5297196
2020-01-24,60.22,60.35,58.95,59.4,7688779
2020-01-27,58.19,58.69,57.78,58.32,6420173
2020-01-28,58.79,60.365,58.61,60.03,5644292
2020-01-29,60.49,60.57,59.9,60.4,4339829
2020-01-30,59.92,60.9,59.92,60.89,5287128
2020-01-31,60.2,60.3,58.3469,58.48,8184161
2020-02-03,58.64,58.9,58.09,58.21,4825357
2020-02-04,58.86,59.38,57.37,59.21,6653690
2020-02-05,60.14,60.14,58.44,58.85,5985924
2020-02-06,59.19,60.64,59.0,60.26,9591480
2020-02-07,61.33,62.8412,60.38,61.53,12936107
2020-02-10,61.42,61.945,60.77,61.63,5279576
2020-02-11,61.93,61.93,60.58,61.19,5350588
2020-02-12,61.5,63.12,61.44,62.8,5244177
2020-02-13,62.25,62.94,62.0,62.59,3642361
2020-02-14,62.69,63.54,62.31,63.52,4242634
2020-02-18,63.36,64.12,63.26,63.74,5317895
2020-02-19,64.0,64.43,63.79,64.37,4865969
2020-02-20,64.02,64.53,62.93,64.0,4219722
2020-02-21,63.82,63.931,63.07,63.375,3476886
2020-02-24,61.21,63.2,61.01,62.31,6101950
2020-02-25,61.8,62.02,59.31,59.51,10451760
2020-02-26,59.74,60.5,58.96,59.37,8275104
2020-02-27,57.8,60.29,57.52,58.33,9014174
2020-02-28,56.29,58.18,55.923,58.13,10456176
2020-03-02,58.3,60.65,57.91,60.59,9483090
2020-03-03,60.56,61.82,58.14,58.75,9825852
2020-03-04,60.0,62.59,59.59,62.55,7306474
2020-03-05,60.78,62.3,60.34,61.52,6978477
2020-03-06,59.65,60.875,58.355,59.97,9745151
2020-03-09,56.6,59.12,55.4,57.35,13169610
2020-03-10,59.45,61.12,57.93,60.71,15378111
2020-03-11,58.75,60.46,58.4,59.33,10531438
2020-03-12,55.1,57.49,52.83,54.56,11644179
2020-03-13,57.0,59.05,53.1,59.04,9942981
2020-03-16,53.11,57.07,52.48,52.76,10456782
2020-03-17,53.66,57.0,50.51,56.16,10799604
2020-03-18,53.0,58.22,52.05,55.59,14550106
2020-03-19,55.62,58.16,53.72,54.13,10151169
2020-03-20,55.25,55.595,51.38,52.05,12916122
2020-03-23,52.805,57.66,52.33,56.47,19601590
2020-03-24,58.34,61.25,53.82,54.43,14885479
2020-03-25,55.01,55.7099,52.52,52.87,11194741
2020-03-26,53.06,57.78,53.06,57.72,9994827
2020-03-27,56.55,58.63,55.76,56.96,8513697
2020-03-30,58.34,59.75,57.5141,58.47,9311318
2020-03-31,58.04,60.1,57.83,59.48,10128828
2020-04-01,58.0,59.61,57.055,57.5,7315683
2020-04-02,58.27,61.09,58.01,60.78,8032936
2020-04-03,61.26,61.72,58.77,59.98,7150304
2020-04-06,61.13,62.395,60.1,61.6,10077434
2020-04-07,62.53,62.55,58.12,59.87,14929015
2020-04-08,60.36,61.495,59.91,61.07,7420277
2020-04-09,61.28,61.8,59.55,60.46,8404908
2020-04-13,60.3165,63.0,60.02,62.75,8054734
2020-04-14,63.98,64.0,62.72,63.28,7156436
2020-04-15,62.63,66.0566,62.25,65.71,9411348
2020-04-16,66.4535,68.32,65.55,68.05,11276045
2020-04-17,66.5,67.0,64.89,66.88,10942338
2020-04-20,66.62,67.15,65.96,66.5,5110247
2020-04-21,66.24,67.04,64.97,65.72,7782687
2020-04-22,66.7,67.12,64.73,66.98,6690149
2020-04-23,66.98,67.5799,65.82,65.88,5900153
